日期,USD/CNY,中美利差（10年期）,中国M2环比增速,美国M2环比增速,中国外汇储备,中国CPI,美国CPI,中美短期利差,USD/CNY
2006/10/9,7.9103,-1.704,0,0,0,0,0,-3.241,7.9103
2006/10/10,7.9128,-1.768,0,0,0,0,0,-3.1878,7.9128
2006/10/11,7.9164,-1.812,0,0,0,0,0,-3.1545,7.9164
2006/10/12,7.9174,-1.8208,0,0,0,0,0,-3.1557,7.9174
2006/10/13,7.9116,-1.8479,0,0,0,0,0,-3.1211,7.9116
2006/10/16,7.9148,-1.8253,0,0,0,0,0,-3.1999,7.9148
2006/10/17,7.911,-1.8187,0,0,0,0,0,-3.1354,7.911
2006/10/18,7.9085,-1.8065,0,0,0,0,0,-3.1577,7.9085
2006/10/19,7.909,-1.836,0,0,0,0,0,-3.1533,7.909
2006/10/20,7.8995,-1.8397,0,0,0,0,0,-3.1835,7.8995
2006/10/23,7.8998,-1.8848,0,0,0,0,0,-3.1827,7.8998
2006/10/24,7.9049,-1.8875,0,0,0,0,0,-3.1831,7.9049
2006/10/25,7.9007,-1.8172,0,0,0,0,0,-3.2008,7.9007
2006/10/26,7.894,-1.7856,0,0,0,0,0,-3.113,7.894
2006/10/27,7.8871,-1.7373,0.002410365,0.005,1,1.4,2,-3.0732,7.8871
2006/10/30,7.8781,-1.7344,0,0,0,0,0,-3.11,7.8781
2006/10/31,7.8792,-1.6528,0,0,0,0,0,-3.1215,7.8792
2006/11/1,7.872,-1.6155,0,0,0,0,0,-3.0277,7.872
2006/11/2,7.875,-1.6443,0,0,0,0,0,-3.0143,7.875
2006/11/3,7.8729,-1.7669,0,0,0,0,0,-3.0445,7.8729
2006/11/6,7.8804,-1.7126,0,0,0,0,0,-3.0088,7.8804
2006/11/7,7.8829,-1.678,0,0,0,0,0,-2.9177,7.8829
2006/11/8,7.8719,-1.6629,0,0,0,0,0,-2.7936,7.8719
2006/11/9,7.8697,-1.651,0,0,0,0,0,-2.7123,7.8697
2006/11/10,7.8667,-1.6335,0,0,0,0,0,-2.6102,7.8667
2006/11/13,7.8644,-1.6636,0,0,0,0,0,-2.4629,7.8644
2006/11/14,7.8703,-1.5998,0,0,0,0,0,-1.6426,7.8703
2006/11/15,7.8715,-1.6562,0,0,0,0,0,-1.7545,7.8715
2006/11/16,7.8733,-1.6995,0,0,0,0,0,-2.0208,7.8733
2006/11/17,7.8745,-1.6418,0,0,0,0,0,-2.0082,7.8745
2006/11/20,7.869,-1.6204,0,0,0,0,0,-1.9855,7.869
2006/11/21,7.8695,-1.5995,0,0,0,0,0,-1.8611,7.8695
2006/11/22,7.8655,-1.5102,0,0,0,0,0,-1.7442,7.8655
2006/11/24,7.8526,-1.4945,0,0,0,0,0,-1.7299,7.8526
2006/11/27,7.8402,-1.514,0,0,0,0,0,-2.115,7.8402
2006/11/28,7.8487,-1.5164,0.014427412,0.0061,1.02656383,1.9,2.5,-2.4656,7.8487
2006/11/29,7.8394,-1.5429,0,0,0,0,0,-2.7053,7.8394
2006/11/30,7.8436,-1.4839,0,0,0,0,0,-2.8939,7.8436
2006/12/1,7.8331,-1.4454,0,0,0,0,0,-2.933,7.8331
2006/12/4,7.824,-1.4395,0,0,0,0,0,-3.0397,7.824
2006/12/5,7.8279,-1.4548,0,0,0,0,0,-3.1005,7.8279
2006/12/6,7.8226,-1.5039,0,0,0,0,0,-3.156,7.8226
2006/12/7,7.8305,-1.4923,0,0,0,0,0,-3.2437,7.8305
2006/12/8,7.8266,-1.5149,0,0,0,0,0,-3.2581,7.8266
2006/12/11,7.8377,-1.4693,0,0,0,0,0,-3.2586,7.8377
2006/12/12,7.8324,-1.4537,0,0,0,0,0,-3.3119,7.8324
2006/12/13,7.8254,-1.5409,0,0,0,0,0,-3.3369,7.8254
2006/12/14,7.8197,-1.5675,0,0,0,0,0,-3.4311,7.8197
2006/12/15,7.8185,-1.5588,0,0,0,0,0,-3.4923,7.8185
2006/12/18,7.8255,-1.5543,0,0,0,0,0,-3.4853,7.8255
2006/12/19,7.827,-1.5698,0,0,0,0,0,-3.5534,7.827
2006/12/20,7.8198,-1.5723,0,0,0,0,0,-3.647,7.8198
2006/12/21,7.819,-1.5291,0,0,0,0,0,-3.6485,7.819
2006/12/22,7.8189,-1.5916,0,0,0,0,0,-3.6089,7.8189
2006/12/26,7.822,-1.5621,0,0,0,0,0,-3.6469,7.822
2006/12/27,7.823,-1.6132,0,0,0,0,0,-3.4515,7.823
2006/12/28,7.8149,-1.66,0.024,0.0054,1.06348078,2.8,2.1,-3.5393,7.8149
2006/12/29,7.8087,-1.6798,0,0,0,0,0,-3.4497,7.8087
2007/1/4,7.8073,-1.5841,0,0,0,0,0,-3.809,7.8073
2007/1/5,7.8097,-1.6269,0,0,0,0,0,-3.8053,7.8097
2007/1/8,7.8135,-1.6224,0,0,0,0,0,-3.8579,7.8135
2007/1/9,7.8078,-1.6389,0,0,0,0,0,-3.8954,7.8078
2007/1/10,7.8081,-1.6798,0,0,0,0,0,-3.9081,7.8081
2007/1/11,7.7977,-1.7343,0,0,0,0,0,-3.9356,7.7977
2007/1/12,7.8012,-1.7628,0,0,0,0,0,-3.9149,7.8012
2007/1/16,7.7895,-1.7355,0,0,0,0,0,-3.9991,7.7895
2007/1/17,7.7798,-1.7674,0,0,0,0,0,-3.9329,7.7798
2007/1/18,7.7758,-1.7217,0,0,0,0,0,-3.8064,7.7758
2007/1/19,7.7788,-1.751,0,0,0,0,0,-3.8374,7.7788
2007/1/22,7.78,-1.7333,0,0,0,0,0,-3.8203,7.78
2007/1/23,7.7815,-1.7727,0,0,0,0,0,-3.6628,7.7815
2007/1/24,7.7755,-1.7873,0,0,0,0,0,-3.5621,7.7755
2007/1/25,7.7735,-1.847,0,0,0,0,0,-3.5559,7.7735
2007/1/26,7.7817,-1.8396,0,0,0,0,0,-3.4711,7.7817
2007/1/29,7.7836,-1.8513,0.017071759,0.0022,1.114195979,2.2,2.4,-3.477,7.7836
2007/1/30,7.7796,-1.8191,0,0,0,0,0,-3.4462,7.7796
2007/1/31,7.7776,-1.7469,0,0,0,0,0,-3.552,7.7776
2007/2/1,7.7615,-1.7754,0,0,0,0,0,-3.5298,7.7615
2007/2/2,7.7613,-1.7672,0,0,0,0,0,-3.4851,7.7613
2007/2/5,7.764,-1.7335,0,0,0,0,0,-3.4907,7.764
2007/2/6,7.7595,-1.6985,0,0,0,0,0,-3.4552,7.7595
2007/2/7,7.7496,-1.6786,0,0,0,0,0,-3.3908,7.7496
2007/2/8,7.7526,-1.6586,0,0,0,0,0,-3.3517,7.7526
2007/2/9,7.7575,-1.6689,0,0,0,0,0,-2.4649,7.7575
2007/2/12,7.7632,-1.6745,0,0,0,0,0,-1.2784,7.7632
2007/2/13,7.7662,-1.6793,0,0,0,0,0,-1.8915,7.7662
2007/2/14,7.7552,-1.605,0,0,0,0,0,-1.2526,7.7552
2007/2/15,7.7502,-1.5735,0,0,0,0,0,-2.1966,7.7502
2007/2/16,7.7408,-1.5599,0,0,0,0,0,-3.246,7.7408
2007/2/26,7.7498,-1.511,0,0,0,0,0,-3.508,7.7498
2007/2/27,7.7471,-1.3662,0,0,0,0,0,-3.5772,7.7471
2007/2/28,7.7409,-1.4304,0.020483642,0.0047,1.157188753,2.7,2.8,-3.7574,7.7409
2007/3/1,7.7472,-1.3987,0,0,0,0,0,-3.7197,7.7472
2007/3/2,7.7453,-1.3347,0,0,0,0,0,-3.7106,7.7453
2007/3/5,7.7403,-1.3224,0,0,0,0,0,-3.7701,7.7403
2007/3/6,7.7453,-1.355,0,0,0,0,0,-3.7517,7.7453
2007/3/7,7.7436,-1.303,0,0,0,0,0,-3.8025,7.7436
2007/3/8,7.7386,-1.2988,0,0,0,0,0,-3.8247,7.7386
2007/3/9,7.7436,-1.368,0,0,0,0,0,-3.8448,7.7436
2007/3/12,7.7474,-1.3312,0,0,0,0,0,-3.87,7.7474
2007/3/13,7.7397,-1.2859,0,0,0,0,0,-3.8857,7.7397
2007/3/14,7.7387,-1.3068,0,0,0,0,0,-3.9165,7.7387
2007/3/15,7.742,-1.2564,0,0,0,0,0,-3.9387,7.742
2007/3/16,7.739,-1.2448,0,0,0,0,0,-3.8412,7.739
2007/3/19,7.7351,-1.232,0,0,0,0,0,-3.7287,7.7351
2007/3/20,7.7395,-1.195,0,0,0,0,0,-3.7049,7.7395
2007/3/21,7.7355,-1.14,0,0,0,0,0,-3.6523,7.7355
2007/3/22,7.731,-1.194,0,0,0,0,0,-3.6213,7.731
2007/3/23,7.7359,-1.1935,0,0,0,0,0,-3.5529,7.7359
2007/3/26,7.7393,-1.187,0,0,0,0,0,-3.5334,7.7393
2007/3/27,7.7343,-1.185,0,0,0,0,0,-3.5103,7.7343
2007/3/28,7.7318,-1.1995,0.015054363,0.0101,1.200061908,3.3,2.6,-3.4684,7.7318
2007/3/29,7.7303,-1.2034,0,0,0,0,0,-3.4861,7.7303
2007/3/30,7.7342,-1.2142,0,0,0,0,0,-3.4943,7.7342
2007/4/2,7.7306,-1.216,0,0,0,0,0,-3.4481,7.7306
2007/4/3,7.7277,-1.2423,0,0,0,0,0,-3.4055,7.7277
2007/4/4,7.7349,-1.214,0,0,0,0,0,-3.4168,7.7349
2007/4/5,7.7268,-1.2399,0,0,0,0,0,-3.4087,7.7268
2007/4/9,7.729,-1.263,0,0,0,0,0,-3.2796,7.729
2007/4/10,7.7304,-1.2431,0,0,0,0,0,-3.249,7.7304
2007/4/11,7.727,-1.244,0,0,0,0,0,-3.209,7.727
2007/4/12,7.7264,-1.2464,0,0,0,0,0,-3.2381,7.7264
2007/4/13,7.7244,-1.2448,0,0,0,0,0,-3.1347,7.7244
2007/4/16,7.722,-1.2043,0,0,0,0,0,-2.8302,7.722
