日期,美元,欧元,日元,港元,英镑,林吉特,卢布,澳元,加元,新西兰元,新加坡元,瑞士法郎,兰特,韩元,迪拉姆,里亚尔,福林,兹罗提,丹麦克朗,瑞典克朗,挪威克朗,里拉,比索,泰铢
2015/9/1,637.52,717.18,5.2667,82.259,979.88,65.129,1007.02,453.26,484.82,404.84,452.13,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/2,636.19,718.31,5.3021,82.089,973.78,65.143,1045.91,446.82,480.4,403.28,450.61,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/7,635.84,710.42,5.3466,82.041,967.11,66.705,1076.61,441.01,478.9,399.73,447.04,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/8,636.39,710.61,5.332,82.114,972.26,67.431,1084.37,441.89,478.45,398.82,445.71,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/9,636.32,712.65,5.2964,82.097,979.36,67.214,1069.03,447.74,482.3,405.74,448.99,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/10,637.72,715.52,5.3001,82.272,980.7,67.66,1072.17,444.09,480.17,400.44,448.35,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/11,637.19,718.75,5.2753,82.218,983.96,67.35,1060.62,450.6,481.55,401.93,451.15,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/14,637.09,722.78,5.2803,82.204,984.21,67.106,1063.56,452.98,481.44,403.38,452.05,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/15,636.65,720.27,5.2898,82.148,982.57,67.157,1061.11,455.74,480.45,403.55,454.44,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/16,637.12,718.22,5.2947,82.208,977.74,67.202,1048.65,454.41,480.99,404.88,454.91,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/17,636.7,719.28,5.2803,82.15,987.45,66.615,1025.21,457.8,483.47,404.18,455.57,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/18,636.07,725.68,5.3028,82.072,989.98,66.267,1027.65,456.57,482.71,403.84,454.79,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/21,636.76,719.57,5.3155,82.163,989.3,66.082,1043.88,458.07,481.77,406.97,453.72,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/22,637.21,714.24,5.2955,82.221,983.11,66.5,1036.86,455.13,481.13,403.41,451.47,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/23,637.73,708.74,5.3087,82.288,979.08,67.081,1035.43,451.6,480.15,401.31,449.79,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/24,637.91,713.35,5.3059,82.31,972.78,67.602,1036.32,446.85,478.8,400.95,447.76,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/25,637.85,713.2,5.3074,82.299,971.69,67.94,1035.47,447.65,477.97,404.24,448.31,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/28,637.29,713.9,5.293,82.227,968.56,68.037,1027.36,447.38,478.12,406.05,446.97,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/29,636.6,715.96,5.3181,82.14,965.57,69.453,1036.3,443.46,475.04,401.25,444.93,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/9/30,636.13,716.08,5.3043,82.081,964.11,69.936,1037.1,445.91,473.73,405.05,446.02,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/8,635.05,714.44,5.2945,81.942,973.34,65.911,979.18,457.36,486.44,420.32,450.52,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/9,634.93,716.4,5.2935,81.926,974.98,65.474,965.92,461.23,488.43,423.24,452.66,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/12,634.06,721.09,5.2766,81.813,971.89,65.037,970.07,464.27,490.15,423.78,453.48,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/13,632.31,718.34,5.2709,81.587,969.51,65.525,978.7,464.55,485.24,423.72,451.51,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/14,634.08,721.58,5.2978,81.817,967.18,65.682,990.75,457.89,487.04,421.57,453.38,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/15,634.02,726.94,5.3316,81.809,981.04,65.173,985.74,463.72,490.82,431.97,460.45,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/16,634.36,721.7,5.3389,81.852,981.72,64.855,964.18,464.66,492.97,434.1,459.67,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/19,635.27,722.01,5.3203,81.97,980.44,65.649,967.29,460.47,491.43,431.31,459.94,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/20,636.14,720.61,5.3255,82.082,984.27,66.323,979.7,461.97,488.46,432.77,457.81,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/21,634.73,721.17,5.294,81.9,980.4,66.936,976.22,461.3,489.01,428.62,456.7,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/22,634.97,720.06,5.2965,81.93,979.28,67.154,990.4,458.17,483.53,427.01,455.44,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/23,635.95,705.89,5.2764,82.058,980.1,66.709,981.52,460.13,485.68,433.92,457.4,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/26,635.49,700.5,5.2438,81.998,973.29,66.298,979.1,459.27,482.09,429.14,454.57,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/27,634.94,702.1,5.253,81.927,975.03,66.241,991.3,460.31,482.37,430.62,456.52,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/28,635.36,701.03,5.2754,81.981,972.51,66.849,1028.22,454.72,478.56,429.54,454.69,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/29,635.96,694.59,5.2701,82.059,971.41,66.906,1004.81,452.12,482.01,425.5,453.48,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/10/30,634.95,697.71,5.2493,81.929,973.29,67.318,1010.51,450.63,482.81,426.89,453.36,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/2,631.54,697.1,5.2415,81.489,975.17,67.596,1015.02,450.67,482.87,427.3,451.44,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/3,633.1,697.44,5.2473,81.689,977.29,67.296,1004.09,453.67,483.54,428.28,453.34,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/4,633.43,694.5,5.2348,81.728,977.27,66.868,987.64,455.07,485.09,421.89,454.24,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/5,633.81,688.66,5.2208,81.777,975.28,67.089,996.34,452.83,481.47,418.13,451.75,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/6,634.59,690.38,5.2153,81.875,965.41,67.289,996.76,453.58,482.21,419.15,451.15,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/9,635.78,683.51,5.1729,82.023,959.54,67.842,1009.3,449.17,477.99,416.76,447.56,-,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/10,636.02,683.97,5.1636,82.048,961.47,68.332,1015.62,448.07,479.08,415.18,447,634.26,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/11,636.14,682.74,5.1688,82.064,962.64,68.64,1012.52,448.06,479.49,416.29,447.87,632.55,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/12,636.28,684.67,5.1804,82.095,968.87,68.259,1023.13,452.56,480.18,417.79,448.8,633.86,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/13,636.55,687.66,5.1945,82.134,969.3,68.36,1038.59,454.01,479.22,416.41,448.77,635.9,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/16,637.5,683.49,5.2054,82.251,969.99,68.379,1047.07,453.22,478.39,416.33,447.44,632.93,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/17,637.4,681.14,5.1731,82.238,968.83,68.513,1020.35,452.56,478.38,413.2,448.25,631.34,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/18,637.96,678.62,5.1706,82.309,970.42,68.541,1020.32,453.64,478.77,412.93,447.88,628.78,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/19,637.91,681.21,5.1655,82.307,973.09,68.145,1015.57,454.8,480.03,414.83,449.46,626.69,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/20,637.8,683.46,5.1894,82.296,974.6,67.452,1011.5,458.52,479.62,418.29,451.1,628.89,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/23,638.67,678.94,5.1985,82.406,969.66,66.911,1011.43,461.37,478.08,417.89,451.62,626.4,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/24,638.88,679.35,5.1989,82.435,966.21,66.936,1033.45,459.32,478.28,416.17,450.61,627.37,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/25,638.77,680.1,5.2148,82.421,963.46,65.882,1024.96,463.55,480.42,419.08,453.75,628.29,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/26,638.96,680.76,5.2104,82.444,966.46,65.691,1026.34,462.47,480.35,421.6,454.82,625.28,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/27,639.15,677.73,5.2117,82.467,964.91,65.811,1030.19,461.41,480.74,419.98,453.83,624.15,-,-,-,-,-,-,-,-,-,-,-,-
2015/11/30,639.62,676.73,5.2107,82.528,961.49,66.362,1037.83,459.12,477.97,417.14,452.11,620.7,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/1,639.73,675.98,5.1924,82.534,963.35,66.352,1036.2,462.8,479.22,422.3,453.29,621.71,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/2,639.58,679.54,5.203,82.508,964.12,65.852,1041.79,468.2,478.58,426.42,454.98,623.02,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/3,639.82,678.67,5.1958,82.553,956.14,66.159,1053.79,466.74,479.41,424.74,452.91,628.05,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/4,638.51,697.69,5.2063,82.386,966.23,65.841,1056.2,468.05,478.43,426.39,458.01,642.79,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/7,639.85,695.68,5.1971,82.561,966.48,65.694,1063.36,469.39,477.71,430.22,457.69,641.7,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/8,640.78,693.99,5.199,82.675,964.3,65.843,1081.84,465.69,474.35,425.7,455.86,640.34,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/9,641.4,698.2,5.216,82.758,962.72,66.202,1082.73,463.32,472.24,425.63,455.71,645.68,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/10,642.36,706.74,5.2792,82.882,975.2,65.99,1078.02,467.2,473.94,433.06,458.16,652.82,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/11,643.58,703.88,5.2855,83.04,975.51,66.052,1070.66,467.99,471.63,434.61,458.67,651.21,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/14,644.95,708.07,5.3343,83.207,980.64,66.537,1086.94,462.57,469.02,432.88,456.79,656.01,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/15,645.59,709.72,5.3321,83.3,978.33,66.603,1091.93,468.07,470.41,437.53,458.42,655.23,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/16,646.26,706.47,5.311,83.385,972.22,66.448,1081.89,465.41,470.42,437.15,459.26,652.06,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/17,647.57,703.83,5.2901,83.553,969.89,66.426,1085.42,466.67,469.54,438.15,458.9,652.32,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/18,648.14,702.67,5.2962,83.605,966.83,66.48,1096.59,461.8,464.78,434.07,456.85,651.76,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/21,647.53,704.2,5.3405,83.529,965.99,66.198,1095.91,464.04,464.05,435.89,458.78,653.06,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/22,647.46,706.59,5.3447,83.519,964.49,66.309,1100.34,466.04,464.06,438.98,460.46,652.43,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/23,647.31,709,5.3492,83.497,960.02,66.247,1099.75,468.29,465.02,441.09,460.95,655.23,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/24,647.55,706.65,5.3555,83.548,963.42,66.462,1076.99,468.69,467.51,440.15,461.07,637.3,-,-,-,-,-,-,-,-,-,-,-,-
2015/12/25,647.13,709.39,5.3853,83.486,966.59,66.538,1085.29,470.99,468.21,441.85,460.98,656.11,-,-,-,-,-,-,-,-,-,-,-,-
